PO,PTJ,Vendor,PO_Date,Total_Amount
4500018466,10200012,RICOPY IMAGE COMUNICATION SDN.BHD.,03.01.2023,4200.0
4500018467,10200012,RICOPY IMAGE COMUNICATION SDN.BHD.,03.01.2023,4200.0
4500018468,10200012,GRACIOUS JEWEL SDN BHD,03.01.2023,284205.6
4500018469,10200006,SABAH DEVELOPMENT PROPERTY SDN,03.01.2023,479721.55
4500018470,10200010,I-BINS SDN BHD,03.01.2023,31774.56
4500018471,10200010,KAWALAN PERTIWI SDN BHD,03.01.2023,61123.84
4500018472,10200011,COWAY (MALAYSIA) SDN BHD,03.01.2023,1584.0
4500018473,10200020,TAN CHONG EKSPRES AUTO SERVIS,03.01.2023,3085.6
4500018474,10200011,PENGARAH YAYASAN ISLAM TERENGGANU,03.01.2023,82710.0
4500018475,10200011,COWAY (MALAYSIA) SDN BHD,03.01.2023,1188.0
4500018476,10200021,SARKON ENTERPRISE,03.01.2023,6837.0
4500018477,10200003,KUMPULAN WANG SIMPANAN PEKERJA,03.01.2023,111081.6
4500018478,10200003,COWAY (MALAYSIA) SDN BHD,03.01.2023,1584.0
4500018479,10200003,KUMPULAN WANG SIMPANAN PEKERJA,03.01.2023,38842.51
4500018480,10200003,KUMPULAN WANG SIMPANAN PEKERJA,03.01.2023,50342.3
4500018481,10200003,TOSHIBA TEC MALAYSIA SDN BHD (ACCOU,03.01.2023,3600.0
4500018482,10200003,TOSHIBA TEC MALAYSIA SDN BHD (ACCOU,03.01.2023,1600.0
4500018483,10200003,PROFIL UNGGUL SDN BHD,03.01.2023,55999.89
4500018484,10200003,RENTOKIL INITIAL (M) SDN BHD,03.01.2023,3395.6
4500018485,10200007,Q SOLUTION OFFICE SUPPLIES,04.01.2023,5787.5
4500018486,10200007,NHS NATIONWIDE SECURITY,04.01.2023,72160.56
4500018487,10200007,ERA PISA ENTERPRISE,04.01.2023,9168.0
4500018488,10200007,DOUBLE MHZ ENTERPRISE,04.01.2023,15000.0
4500018489,10200007,KOPERASI STAF CIDB MALAYSIA BERHAD,04.01.2023,67200.0
4500018490,10200004,KUMPULAN WANG SIMPANAN PEKERJA,04.01.2023,307292.88
4500018491,10200004,TOSHIBA TEC MALAYSIA SDN BHD (ACCOU,04.01.2023,5400.0
4500018492,10200004,IBU YONG ENTERPRISE,04.01.2023,22800.0
4500018493,10200004,PELITA IDEAL SDN BHD,04.01.2023,1280.0
4500018494,10200004,ECOMMON PEST SOLUTIONS,04.01.2023,400.0
4500018495,10200004,WATER TECH ENTERPRISE,04.01.2023,1200.0
4500018496,10120001,NUSANKOM SDN BHD,04.01.2023,4884.48
4500018497,10200001,AZMI BIN MOHAMAD,04.01.2023,23500.0
4500018498,10200001,RENTOKIL INITIAL (M) SDN BHD,04.01.2023,1899.96
4500018499,10200001,RICOH (MALAYSIA) SDN. BHD.,04.01.2023,3640.0
4500018500,10200008,KOPERASI STAF CIDB MALAYSIA BERHAD,04.01.2023,58800.0
4500018501,10200010,KOPERASI STAF CIDB MALAYSIA BERHAD,05.01.2023,90214.8
4500018502,10200032,KOPERASI STAF CIDB MALAYSIA BERHAD,05.01.2023,85620.0
4500018503,10200010,TL COPIER (EAST COAST) SDN BHD,05.01.2023,6840.0
4500018504,10200032,KIWI OFFICE EQUIPMENT SALES & SERVI,05.01.2023,4698.12
4500018505,10200032,RED BERET SECURITY SDN BHD,05.01.2023,74488.32
4500018506,10200032,COWAY (MALAYSIA) SDN BHD,05.01.2023,1440.0
4500018507,10200007,VITIME RESOURCES,05.01.2023,1428.8
4500018508,10200032,DY MEKAR,05.01.2023,30600.0
4500018510,10200009,KOPERASI STAF CIDB MALAYSIA BERHAD,05.01.2023,1677.54
4500018511,10200001,WINNING FORCE SECURITY SERVICES,05.01.2023,66601.92
4500018512,10200001,KOPERASI STAF CIDB MALAYSIA BERHAD,05.01.2023,25200.0
4500018513,10200020,AKADEMI BINAAN MALAYSIA (SARAWAK),06.01.2023,1200.0
4500018514,10200020,HANAQYA ENTERPRISE,06.01.2023,10.0
4500018515,10120001,RICOH (MALAYSIA) SDN. BHD.,06.01.2023,40800.0
4500018516,10120001,KOPERASI STAF CIDB MALAYSIA BERHAD,06.01.2023,94170.0
4500018517,10120001,KOPERASI STAF CIDB MALAYSIA BERHAD,06.01.2023,86400.0
4500018518,10120001,PUTRAPACK MOVERS SDN. BHD.,06.01.2023,44988.6
4500018519,10120001,COWAY (MALAYSIA) SDN BHD,06.01.2023,20388.0
4500018520,10120001,KOPERASI STAF CIDB MALAYSIA BERHAD,06.01.2023,27960.7
4500018521,10120001,ABI ONE (M) SDN BHD,06.01.2023,6775.0
4500018522,10120001,KOPERASI STAF CIDB MALAYSIA BERHAD,06.01.2023,7144.0
4500018523,10120001,WTC KL HOLDINGS SDN. BHD.,06.01.2023,1429012.8
4500018524,10120001,COWAY (MALAYSIA) SDN BHD,06.01.2023,5136.0
4500018525,10120001,PUTRAPACK MOVERS SDN. BHD.,06.01.2023,315000.0
4500018526,10200003,UJ HOTELS & RESORTS MANAGEMENT,06.01.2023,17375.4
4500018527,10120001,KOPERASI STAF CIDB MALAYSIA BERHAD,06.01.2023,4975.0
4500018528,10120001,WTC KL HOLDINGS SDN. BHD.,06.01.2023,5000.0
4500018529,10120001,RHB TRUSTEES BERHAD,06.01.2023,432847.8
4500018530,10160002,ELERAT COMMUNICATIONS SDN BHD,06.01.2023,83070.0
4500018532,10200008,AKADEMI BINAAN MALAYSIA (JOHOR),09.01.2023,195900.0
4500018533,10200008,CONSONANCE SOLUTION SDN BHD,09.01.2023,1410.0
4500018534,10200008,CONSONANCE SOLUTION SDN BHD,09.01.2023,1770.0
4500018535,10200008,COWAY (MALAYSIA) SDN BHD,09.01.2023,1584.0
4500018536,10200008,RAKEBA SECURITY SDN BHD,09.01.2023,15277.34
4500018537,10200008,NLC GENERAL PEST CONTROL SDN BHD,09.01.2023,750.0
4500018538,10200006,ORBITECH SOLUTIONS,09.01.2023,11130.0
4500018539,10200008,WARONG SAMBAL ENTERPRISE,09.01.2023,4500.0
4500018540,10200006,RICOH (MALAYSIA) SDN. BHD.,09.01.2023,5400.0
4500018541,10200006,RICOH (MALAYSIA) SDN. BHD.,09.01.2023,10800.0
4500018542,10200006,RICOH (MALAYSIA) SDN. BHD.,09.01.2023,1800.0
4500018543,10200012,RENTOKIL INITIAL (M) SDN BHD,09.01.2023,1850.0
4500018544,10200031,MANIPLAN DEVELOPMENT SDN BHD,09.01.2023,116424.0
4500018545,10200012,CRESTMAX AUTO (KB) SDN BHD,09.01.2023,535.53
4500018546,10200031,D'ANAZ ENTERPRISE,10.01.2023,18000.0
4500018547,10200022,EVERGROW RJ GENERAL CONTRACTOR,10.01.2023,28080.0
4500018548,10200022,KAMI SECURITY SERVICES SDN BHD,10.01.2023,72626.16
4500018549,10200031,RED BERET SECURITY SDN BHD,10.01.2023,77281.63
4500018550,10200022,PUTARAN SEMASA SDN BHD,10.01.2023,18592.0
4500018551,10200010,RENTOKIL INITIAL (M) SDN BHD,10.01.2023,9336.0
4500018552,10200009,ACTIVEONE SPORTS & SUPPLIES,10.01.2023,230.0
4500018553,10200022,CUCKOO INTERNATIONAL (MAL) BERHAD,10.01.2023,1320.0
4500018554,10200022,CUCKOO INTERNATIONAL (MAL) BERHAD,10.01.2023,1320.0
4500018555,10200022,TAN HONG CHUAN,10.01.2023,81600.0
4500018556,10200030,COWAY (MALAYSIA) SDN BHD,10.01.2023,2688.0
4500018557,10200005,BINOR TRADING SDN BHD,11.01.2023,4642.8
4500018558,10200005,PUTRAPACK MOVERS SDN. BHD.,11.01.2023,41687.2
4500018559,10200005,PERBADANAN KEMAJUAN PERTANIAN SELAN,11.01.2023,161337.4
4500018560,10200005,PERBADANAN KEMAJUAN PERTANIAN SELAN,11.01.2023,93000.96
4500018561,10200005,PUTARAN SEMASA SDN BHD,11.01.2023,22860.0
4500018562,10200020,TOSHIBA TEC MALAYSIA SDN BHD (ACCOU,11.01.2023,3600.0
4500018563,10200023,PUTARAN SEMASA SDN BHD,11.01.2023,7200.0
4500018564,10200023,GERAK PADU SECURITY SDN BHD,11.01.2023,24441.48
4500018565,10200023,WANT N WILL ENTERPRISE,11.01.2023,7448.21
4500018566,10200023,CUCKOO INTERNATIONAL (MAL) BERHAD,11.01.2023,1245.24
4500018567,10200023,RENTOKIL INITIAL (M) SDN BHD,11.01.2023,215.0
4500018568,10200023,RENTOKIL INITIAL (M) SDN BHD,11.01.2023,390.0
4500018569,10200023,ANTHONY LING SING LEH,11.01.2023,55000.0
4500018570,10200010,BNA GLOBAL ENTERPRISE,12.01.2023,1440.0
